sample,sex,quantity,quantityUnits,concDNA,dilution,finalVolume,yieldDNA,concRNA,dilution,finalVolume,yieldRNA
3,F,15,mg,102,1,12,1224,178,20,11,39160
16,F,12.1,mg,14.9,1,14,208.6,164,1,13,2132
19,F,9.5,mg,11.1,10,11,1221,196,20,11,43120
22,F,13.1,mg,59.2,1,12,710.4,180,10,12,21600
29,F,9,mg,22.8,10,11,2508,94.8,10,12,11376
35,F,12.7,mg,32.4,1,14,453.6,152,10,12,18240
36,F,7.7,mg,30.8,5,12,1848,166,20,11,36520
39,F,10.1,mg,10.8,10,11,1188,188,30,10,56400
41,F,11.5,mg,9.42,10,11,1036.2,158,10,12,18960
44,F,12.2,mg,61.6,1,11,677.6,65.6,10,12,7872
50,F,14.2,mg,23.6,10,13,3068,200,10,12,24000
52,F,10.7,mg,90.6,1,12,1087.2,102,10,12,12240
53,F,10.8,mg,63.2,1,11,695.2,156,10,12,18720
54,F,12,mg,58.2,10,14,8148,78.2,10,12,9384
76,F,6,mg,40.8,1,12,489.6,200,20,11,44000
77,F,6.2,mg,92.8,1,11,1020.8,186,30,10,55800
16-2,F,N/A,mg,118,1,14,1652,184,1,14,2576
35-2,F,N/A,mg,90.6,1,14,1268.4,136,40,11,59840
6,M,50,킠,112,1,14,1568,26.4,1,14,369.6
7,M,50,킠,11.5,10,13,1495,7.1,1,14,99.4
9,M,50,킠,5.7,10,13,741,24.8,1,14,347.2
12,M,50,킠,13.3,10,13,1729,27.4,1,14,383.6
13,M,50,킠,110,1,20,2200,19.8,1,14,277.2
23,M,50,킠,13.4,10,13,1742,21.4,1,14,299.6
31,M,50,킠,42.4,1,22,932.8,22.2,1,14,310.8
48,M,50,킠,63.6,1,14,890.4,15.7,1,14,219.8
57,M,50,킠,5.44,1,14,76.16,N/A,1,14,#VALUE!
59,M,50,킠,10.9,10,13,1417,36.6,1,14,512.4
64,M,50,킠,7.64,1,27,206.28,17.5,1,14,245
7-2,M,50,킠,83.6,1,14,1170.4,14.3,1,14,200.2
48-2,M,50,킠,42.4,1,14,593.6,12.5,1,14,175
57-2,M,50,킠,3.16,1,14,44.24,N/A,1,14,#VALUE!
64-2,M,50,킠,14.8,1,14,207.2,N/A,1,14,#VALUE!
6-2,M,50,킠,68.4,1,20,1368,60.4,1,14,845.6
9-2,M,50,킠,94,1,14,1316,29.4,1,14,411.6
12-2,M,50,킠,2.06,10,14,288.4,31,1,14,434
13-2,M,50,킠,6.78,10,14,949.2,57,1,14,798
23-2,M,50,킠,7.12,10,14,996.8,23.8,1,14,333.2
31-2,M,50,킠,42,1,20,840,31.4,1,14,439.6
59-2,M,50,킠,86.4,1,14,1209.6,22.6,1,14,316.4
